season,robot_a,robot_b,winner,method
2016,Tombstone,Witch Doctor,Tombstone,KO
2016,Bombshell,Tombstone,Tombstone,KO
2016,Bronco,Icewave,Bronco,JD
2016,Ghost Raptor,Yeti,Yeti,KO
2018,Minotaur,Witch Doctor,Minotaur,JD
2018,Bite Force,Minotaur,Bite Force,JD
2018,Tombstone,Minotaur,Minotaur,KO
2018,Bite Force,Lock-Jaw,Bite Force,KO
2018,Hydra,Beta,Hydra,JD
2018,Captain Shrederator,Yeti,Yeti,JD
2018,Rotator,Lock-Jaw,Rotator,JD
2019,Bite Force,Tombstone,Bite Force,JD
2019,End Game,Witch Doctor,End Game,KO
2019,SawBlaze,Copperhead,SawBlaze,JD
2019,Bite Force,SawBlaze,Bite Force,JD
2019,Minotaur,Whiplash,Whiplash,JD
2019,Hydra,Rotator,Hydra,KO
2019,Icewave,Deep Six,Icewave,KO
2020,Bite Force,Whiplash,Bite Force,JD
2020,End Game,SawBlaze,End Game,JD
2020,Hydra,Rotator,Hydra,KO
2020,Witch Doctor,Hydra,Witch Doctor,JD
2020,Bite Force,Cobalt,Bite Force,JD
2020,Tombstone,Copperhead,Tombstone,KO
2020,Uppercut,HUGE,Uppercut,JD
2020,Jager,Gruff,Gruff,JD
2021,End Game,SawBlaze,End Game,JD
2021,Tombstone,Hypershock,Tombstone,KO
2021,Copperhead,Whiplash,Whiplash,JD
2021,Witch Doctor,Cobalt,Witch Doctor,JD
2021,Tantrum,Whiplash,Tantrum,JD
2021,Hydra,Shatter,Hydra,JD
2021,Blip,Lock-Jaw,Blip,KO
2021,Fusion,Rotator,Fusion,KO
2021,Black Dragon,Hijinx,Black Dragon,JD
2022,Riptide,Whiplash,Riptide,KO
2022,End Game,Copperhead,End Game,JD
2022,Tombstone,Skorpios,Tombstone,KO
2022,Minotaur,Hypershock,Minotaur,JD
2022,Riptide,Lock-Jaw,Riptide,KO
2022,Witch Doctor,Bloodsport,Witch Doctor,KO
2022,Tantrum,Hydra,Tantrum,JD
2022,Blip,Cobalt,Blip,JD
2022,SawBlaze,Valkyrie,SawBlaze,JD
2022,Copperhead,Kraken,Copperhead,KO
2023,Riptide,SawBlaze,SawBlaze,JD
2023,Witch Doctor,Whiplash,Witch Doctor,JD
2023,Hydra,HUGE,Hydra,JD
2023,Tombstone,Yeti,Tombstone,KO
2023,End Game,Minotaur,End Game,KO
2023,Copperhead,Hypershock,Hypershock,KO
2023,Tantrum,Cobalt,Tantrum,JD
2023,Blip,Black Dragon,Blip,JD
2023,Riptide,Hydra,Riptide,KO
2023,SawBlaze,Skorpios,SawBlaze,JD
2023,Lucky,Gruff,Gruff,JD
2024,End Game,Riptide,End Game,JD
2024,Minotaur,Hydra,Minotaur,KO
2024,Tombstone,Lock-Jaw,Tombstone,KO
2024,Witch Doctor,Tantrum,Witch Doctor,JD
2024,Hypershock,Blip,Hypershock,JD
2024,SawBlaze,Whiplash,SawBlaze,JD
2024,Copperhead,Valkyrie,Valkyrie,JD
2024,Cobalt,Uppercut,Cobalt,KO
2024,Riptide,Hypershock,Riptide,KO
2024,Bite Force,End Game,End Game,JD
